catch_type,qtile_cut,qtile_val
fishing_artisanal,99%,0
fishing_artisanal,99.9%,0
fishing_artisanal,99.99%,0
fishing_dem_dest,99%,0.9110417634248728
fishing_dem_dest,99.9%,3.0563162910938546
fishing_dem_dest,99.99%,3.8039247179031292
fishing_dem_nondest_hb,99%,0.36417701840400696
fishing_dem_nondest_hb,99.9%,0.6309241858124747
fishing_dem_nondest_hb,99.99%,2.6659399353265463
fishing_dem_nondest_lb,99%,0.28674859553575477
fishing_dem_nondest_lb,99.9%,0.6463450199365667
fishing_dem_nondest_lb,99.99%,0.6877219132781026
fishing_pel_hb,99%,2.1765610408782954
fishing_pel_hb,99.9%,4.928008134841938
fishing_pel_hb,99.99%,16.193276284027103
fishing_pel_lb,99%,0.14709705203771592
fishing_pel_lb,99.9%,0.24307212996482874
fishing_pel_lb,99.99%,0.5524710936427116
